2025-01-16 04:46:44,995 - INFO - Checkpoint loaded successfully from Connect4_Agent_Model.pth. Starting at episode 2500.
2025-01-16 04:46:44,995 - INFO - TOTAL_EPISODES adjusted to 97500 after subtracting 2500.
2025-01-16 04:46:45,011 - INFO - Episode 2501/97500: Winner=2, Reward=-0.85, EPSILON=1.000, (W=0,D=0,L=0)
2025-01-16 04:46:49,931 - INFO - Episode 2524/97500: Winner=2, Reward=-17.25, EPSILON=1.000, (W=9,D=0,L=0)
2025-01-16 04:46:50,088 - INFO - Episode 2525/97500: Winner=2, Reward=7.80, EPSILON=1.000, (W=9,D=0,L=0)
2025-01-16 04:46:50,541 - INFO - Episode 2526/97500: Winner=-1, Reward=-89.65, EPSILON=1.000, (W=9,D=1,L=0)
2025-01-16 04:46:50,759 - INFO - Episode 2527/97500: Winner=2, Reward=-7.40, EPSILON=1.000, (W=10,D=1,L=0)
2025-01-16 04:46:50,822 - INFO - Episode 2528/97500: Winner=2, Reward=0.10, EPSILON=1.000, (W=10,D=1,L=0)
2025-01-16 04:46:50,978 - INFO - Episode 2529/97500: Winner=2, Reward=4.35, EPSILON=1.000, (W=10,D=1,L=0)
2025-01-16 04:46:51,040 - INFO - Episode 2530/97500: Winner=2, Reward=-0.20, EPSILON=1.000, (W=10,D=1,L=0)
2025-01-16 04:46:51,197 - INFO - Episode 2531/97500: Winner=2, Reward=10.55, EPSILON=1.000, (W=10,D=1,L=0)
2025-01-16 04:46:51,556 - INFO - Episode 2532/97500: Winner=2, Reward=-51.05, EPSILON=1.000, (W=11,D=1,L=0)
2025-01-16 04:46:51,837 - INFO - Episode 2533/97500: Winner=2, Reward=-10.15, EPSILON=1.000, (W=12,D=1,L=0)
2025-01-16 04:46:52,071 - INFO - Episode 2534/97500: Winner=2, Reward=-19.05, EPSILON=1.000, (W=13,D=1,L=0)
2025-01-16 04:46:52,337 - INFO - Episode 2535/97500: Winner=2, Reward=-3.85, EPSILON=1.000, (W=14,D=1,L=0)
2025-01-16 04:46:52,415 - INFO - Episode 2536/97500: Winner=2, Reward=7.10, EPSILON=1.000, (W=14,D=1,L=0)
2025-01-16 04:46:52,681 - INFO - Episode 2537/97500: Winner=2, Reward=13.90, EPSILON=1.000, (W=14,D=1,L=0)
2025-01-16 04:46:52,821 - INFO - Episode 2538/97500: Winner=2, Reward=-11.45, EPSILON=1.000, (W=15,D=1,L=0)
2025-01-16 04:46:53,024 - INFO - Episode 2539/97500: Winner=2, Reward=-27.80, EPSILON=1.000, (W=16,D=1,L=0)
2025-01-16 04:46:53,196 - INFO - Episode 2540/97500: Winner=2, Reward=-11.65, EPSILON=1.000, (W=17,D=1,L=0)
2025-01-16 04:46:53,352 - INFO - Episode 2541/97500: Winner=2, Reward=2.90, EPSILON=1.000, (W=18,D=1,L=0)
2025-01-16 04:46:53,509 - INFO - Episode 2542/97500: Winner=2, Reward=-1.90, EPSILON=1.000, (W=19,D=1,L=0)
2025-01-16 04:46:53,618 - INFO - Episode 2543/97500: Winner=2, Reward=7.85, EPSILON=1.000, (W=19,D=1,L=0)
2025-01-16 04:46:53,790 - INFO - Episode 2544/97500: Winner=2, Reward=-16.05, EPSILON=1.000, (W=20,D=1,L=0)
2025-01-16 04:46:54,087 - INFO - Episode 2545/97500: Winner=2, Reward=-35.50, EPSILON=1.000, (W=21,D=1,L=0)
2025-01-16 04:46:54,337 - INFO - Episode 2546/97500: Winner=2, Reward=3.80, EPSILON=1.000, (W=22,D=1,L=0)
2025-01-16 04:46:54,493 - INFO - Episode 2547/97500: Winner=2, Reward=10.65, EPSILON=1.000, (W=22,D=1,L=0)
2025-01-16 04:46:54,711 - INFO - Episode 2548/97500: Winner=2, Reward=-20.65, EPSILON=1.000, (W=23,D=1,L=0)
2025-01-16 04:46:54,930 - INFO - Episode 2549/97500: Winner=2, Reward=0.55, EPSILON=1.000, (W=23,D=1,L=0)
2025-01-16 04:46:55,133 - INFO - Episode 2550/97500: Winner=2, Reward=-8.00, EPSILON=1.000, (W=23,D=1,L=0)
2025-01-16 04:46:55,196 - INFO - Episode 2551/97500: Winner=2, Reward=7.15, EPSILON=1.000, (W=23,D=1,L=0)
2025-01-16 04:46:55,414 - INFO - Episode 2552/97500: Winner=2, Reward=9.85, EPSILON=1.000, (W=23,D=1,L=0)
2025-01-16 04:46:55,508 - INFO - Episode 2553/97500: Winner=2, Reward=-10.25, EPSILON=1.000, (W=24,D=1,L=0)
2025-01-16 04:46:55,821 - INFO - Episode 2554/97500: Winner=2, Reward=-19.45, EPSILON=1.000, (W=24,D=1,L=0)
2025-01-16 04:46:56,086 - INFO - Episode 2555/97500: Winner=2, Reward=-8.50, EPSILON=1.000, (W=24,D=1,L=0)
2025-01-16 04:46:56,258 - INFO - Episode 2556/97500: Winner=2, Reward=-11.25, EPSILON=0.999, (W=25,D=1,L=0)
2025-01-16 04:46:56,492 - INFO - Episode 2557/97500: Winner=2, Reward=-13.05, EPSILON=0.999, (W=26,D=1,L=0)
